ID,ID_ร้าน,ชื่อคอร์ส,ระยะเวลา(นาที),ราคา(บาท)
1,1,นวดเท้า,60,350
2,1,นวดเท้ามือหัว,90,500
3,1,นวดเท้าประคบ,90,700
4,1,นวดไทย,60,350
5,1,นวดไทย,90,500
6,1,นวดไทยบาล์ม,60,450
7,1,หลังคอไหล่,60,350
8,1,นวดไทยหัว,90,500
9,1,นวดไทยประคบ,90,700
10,1,นวดน้ำมัน,60,650
11,1,นวดน้ำมัน,90,950
12,1,นวดน้ำมันมะพร้าว,60,700
13,1,นวดน้ำมันทองคำ,60,850
14,1,นวดตัวว่านหาง,60,650
15,1,นวดน้ำมันร้อน,60,750
16,1,นวดน้ำมันประคบ,90,1000
17,1,นวดเท้า + มือ + หลังไหล่ + หัว + ประคบ,120,850
18,1,นวดเท้า + หลังไหล่ + ไทยบาล์ม,120,750
19,1,ขัดตัว + นวดน้ำมัน + ขัดหน้าสมุนไพร,150,1500
20,1,ขัดตัวทองคำ + นวดน้ำมันทองคำ + ขัดหน้าทองคำ + มาส์กตัวทองคำ,180,2600
21,1,ขัดหน้าสมุนไพร + นวดน้ำมัน,105,1000
22,1,ขัดตัวสมุนไพร + นวดน้ำมัน,105,1100
23,1,ขัดตัวมะพร้าว + นวดน้ำมันมะพร้าวร้อน,105,1200
24,1,มาส์กตัวอโลเวล่า + นวดตัวว่านหาง,105,1200
25,1,ขัดตัวทองคำ + นวดน้ำมันทองคำ,105,1500
26,1,นวดไทย + นวดน้ำมันร้อน,120,950
27,1,นวดหัวอินเดีย + นวดน้ำมันมะพร้าวร้อน,120,1200
28,1,นวดไทยบาล์ม + นวดน้ำมันประคบ,150,1300
29,1,ขัดตัว + นวดน้ำมัน + ขัดหน้าสมุนไพร,150,1500
30,1,ขัดตัว + มาส์กตัว + นวดน้ำมันร้อน,150,1800
31,1,ขัดตัวทองคำ + นวดน้ำมันทองคำ + ขัดหน้าทองคำ,150,2200
32,1,นวดไทย + นวดน้ำมันร้อน + ขัดหน้าสมุนไพรช,165,1600
33,1,นวดหัวอินเดีย + นวดน้ำมันมะพร้าวร้อน + ขัดหน้าสมุนไพร,165,1800
34,2,นวดไทยล้านนา,60,400
35,2,นวดไทยล้านนา,90,600
36,2,นวดไทยล้านนา,120,800
37,2,นวดน้ำมัน,60,500
38,2,นวดน้ำมัน,90,750
39,2,นวดน้ำมัน,120,1000
40,2,นวดไทยประคบ,60,500
41,2,นวดไทยประคบ,90,750
42,2,นวดไทยประคบ,120,1000
43,2,ขัดตัว,90,900
44,2,ขัดตัว,120,1300
45,2,นวดไทย,60,250
